model,seed,lookback,epochs_ran,train_time_s,train_loss_final,val_loss_final,r2,r2_ci_lower,r2_ci_upper,mae,rmse,mse,mape,latency_ms_mean,latency_ms_std,params,ram_peak_mb
gru,42,12,150,155.1,0.001005,0.000276,0.9646,0.9607,0.9678,0.010676,0.013613,0.000185,8.63,0.027,0.003,40705,
gru,123,12,140,137.7,0.000826,0.000225,0.9665,0.9632,0.9696,0.010535,0.013185,0.000174,8.88,0.028,0.003,40705,
gru,2026,12,123,122.3,0.001268,0.000309,0.9655,0.962,0.9687,0.010581,0.013407,0.00018,9.03,0.029,0.004,40705,
lstm,42,12,115,88.5,0.000976,0.000209,0.9635,0.9597,0.9669,0.010818,0.013805,0.000191,8.87,0.021,0.002,53569,
lstm,123,12,115,91.2,0.001048,0.000229,0.965,0.9614,0.9684,0.010662,0.013484,0.000182,8.96,0.024,0.006,53569,
lstm,2026,12,130,96.7,0.000924,0.000233,0.967,0.9637,0.9699,0.010415,0.013118,0.000172,8.85,0.021,0.002,53569,
rnn,42,12,150,33.0,0.000377,0.00033,0.9577,0.9532,0.9617,0.011876,0.014864,0.000221,9.78,0.005,0.001,1281,
rnn,123,12,65,14.3,0.000606,0.000464,0.9476,0.9419,0.9525,0.013309,0.016497,0.000272,11.74,0.005,0.001,1281,
rnn,2026,12,90,20.0,0.000453,0.000399,0.9426,0.9361,0.9485,0.013932,0.017292,0.000299,12.56,0.005,0.001,1281,
tcn,42,12,150,117.1,0.000341,0.000256,0.965,0.9611,0.9685,0.010485,0.013525,0.000183,8.77,0.028,0.005,4481,
tcn,123,12,150,117.8,0.000349,0.000244,0.9681,0.9647,0.9713,0.010111,0.01287,0.000166,8.58,0.026,0.003,4481,
tcn,2026,12,150,117.0,0.000364,0.000248,0.9685,0.9653,0.9715,0.010242,0.012806,0.000164,9.06,0.027,0.004,4481,
ltransformer,42,12,99,43.8,0.000708,0.000376,0.9579,0.9534,0.9618,0.011614,0.014843,0.00022,9.52,0.011,0.001,2337,
ltransformer,123,12,125,54.8,0.000692,0.000325,0.9599,0.9558,0.9638,0.011226,0.014423,0.000208,9.21,0.012,0.002,2337,
ltransformer,2026,12,101,43.8,0.000729,0.000388,0.9656,0.9614,0.9691,0.010294,0.013399,0.00018,8.79,0.011,0.001,2337,
